SUMLEV,REGION,DIVISION,STATE,NAME,CENSUS2010POP,POPESTIMATE2012,NPOPCHG_2010
10,0,0,0,United States,308745538,313830990,563561
20,1,0,0,Northeast Region,55317240,55775216,61691
20,2,0,0,Midwest Region,66927001,67336743,44691
20,3,0,0,South Region,114555744,117241208,303650
20,4,0,0,West Region,71945553,73477823,153529
40,3,6,1,Alabama,4779736,4815588,5312
40,4,9,2,Alaska,710231,730443,3661
40,4,8,4,Arizona,6392017,6554978,14884
40,3,7,5,Arkansas,2915918,2952164,5933
40,4,9,6,California,37253956,37948800,64983
40,4,8,8,Colorado,5029196,5192647,18030
40,1,1,9,Connecticut,3574097,3594547,4967
40,3,5,10,Delaware,897934,915179,1656
40,3,5,11,District of Columbia,601723,634924,3459
40,3,5,12,Florida,18801310,19297822,40973
40,3,5,13,Georgia,9687653,9901430,23152
40,4,9,15,Hawaii,1360301,1394804,3656
40,4,8,16,Idaho,1567582,1595324,3089
40,2,3,17,Illinois,12830632,12882510,8931
40,2,3,18,Indiana,6483802,6537703,6381
40,2,4,19,Iowa,3046355,3076190,3874
40,2,4,20,Kansas,2853118,2885257,5067
40,3,6,21,Kentucky,4339367,4386346,8848
40,3,7,22,Louisiana,4533372,4600972,11045
40,1,1,23,Maine,1328361,1327729,-729
40,3,5,24,Maryland,5773552,5886992,14851
40,1,1,25,Massachusetts,6547629,6663005,18522
40,2,3,26,Michigan,9883640,9897145,-6606
40,2,4,27,Minnesota,5303925,5376643,6901
40,3,6,28,Mississippi,2967297,2983816,2418
40,2,4,29,Missouri,5988927,6024367,7024
40,4,8,30,Montana,989415,1003783,1290
40,2,4,31,Nebraska,1826341,1853303,3237
40,4,8,32,Nevada,2700551,2743996,1728
40,1,1,33,New Hampshire,1316470,1324232,300
40,1,2,34,New Jersey,8791894,8844942,7468
40,4,8,35,New Mexico,2059179,2087309,5353
40,1,2,36,New York,19378102,19572932,21734
40,3,5,37,North Carolina,9535483,9749476,38572
40,2,4,38,North Dakota,672591,701176,2139
40,2,3,39,Ohio,11536504,11548923,2585
40,3,7,40,Oklahoma,3751351,3818814,8362
40,4,9,41,Oregon,3831074,3899001,6412
40,1,2,42,Pennsylvania,12702379,12767118,8292
40,1,1,44,Rhode Island,1052567,1054621,995
40,3,5,45,South Carolina,4625364,4717354,10283
40,2,4,46,South Dakota,814180,833566,1968
40,3,6,47,Tennessee,6346105,6453898,9035
40,3,7,48,Texas,25145561,26084481,95880
40,4,8,49,Utah,2763885,2853375,11441
40,1,1,50,Vermont,625741,626090,142
40,3,5,51,Virginia,8001024,8185080,22650
40,4,9,53,Washington,6724540,6897058,18290
40,3,5,54,West Virginia,1852994,1856872,1221
40,2,3,55,Wisconsin,5686986,5719960,3190
40,4,8,56,Wyoming,563626,576305,712
40,X,X,72,Puerto Rico,3725789,3634488,-4632
